"TypedKey","Time","WindowTitle"
"[H]","13/11/2024:20:55:06:99","*[2, 3, 4, 10, 40] - Notepad"
"[H][o]","13/11/2024:20:55:07:19","*[2, 3, 4, 10, 40] - Notepad"
"[SpaceBar]","13/11/2024:20:55:07:35","*[2, 3, 4, 10, 40] - Notepad"
"[t]","13/11/2024:20:55:07:60","*[2, 3, 4, 10, 40] - Notepad"
"[h]","13/11/2024:20:55:07:75","*[2, 3, 4, 10, 40] - Notepad"
"[r]","13/11/2024:20:55:07:97","*[2, 3, 4, 10, 40] - Notepad"
"[e]","13/11/2024:20:55:08:14","*[2, 3, 4, 10, 40] - Notepad"
"[r]","13/11/2024:20:55:20:99","New Tab - Google Chrome"
"[a]","13/11/2024:20:55:21:19","New Tab - Google Chrome"
"[h]","13/11/2024:20:55:25:36","Login - Google Chrome"
"[s]","13/11/2024:20:55:25:79","Login - Google Chrome"
"[h]","13/11/2024:20:55:27:16","Login - Google Chrome"
"[a]","13/11/2024:20:55:27:30","Login - Google Chrome"
"[s]","13/11/2024:20:55:27:47","Login - Google Chrome"
"[h]","13/11/2024:20:55:27:63","Login - Google Chrome"
"[e]","13/11/2024:20:55:27:79","Login - Google Chrome"
"[p]","13/11/2024:20:55:28:16","Login - Google Chrome"
"[s]","13/11/2024:20:55:28:54","Login - Google Chrome"
"[h]","13/11/2024:20:55:30:59","Login - Google Chrome"
"[s]","13/11/2024:20:55:30:84","Login - Google Chrome"
"[h]","13/11/2024:20:55:31:01","Login - Google Chrome"
"[e]","13/11/2024:20:55:31:16","Login - Google Chrome"
"[p]","13/11/2024:20:55:31:51","Login - Google Chrome"
"[s]","13/11/2024:20:55:31:77","Login - Google Chrome"
"[w]","13/11/2024:20:55:32:06","Login - Google Chrome"
"[o]","13/11/2024:20:55:32:21","Login - Google Chrome"
"[d]","13/11/2024:20:55:32:40","Login - Google Chrome"
"[k]","13/11/2024:20:55:36:86","Create Session - Google Chrome"
"[y]","13/11/2024:20:55:37:10","Create Session - Google Chrome"
"[t]","13/11/2024:20:55:37:29","Create Session - Google Chrome"
"[r]","13/11/2024:20:55:37:52","Create Session - Google Chrome"
"[o]","13/11/2024:20:55:37:78","Create Session - Google Chrome"
"[k]","13/11/2024:20:55:37:93","Create Session - Google Chrome"
"[SpaceBar]","13/11/2024:20:55:38:07","Create Session - Google Chrome"
"[t]","13/11/2024:20:55:38:33","Create Session - Google Chrome"
"[s]","13/11/2024:20:55:38:55","Create Session - Google Chrome"
"[i]","13/11/2024:20:55:39:00","Create Session - Google Chrome"
"[g]","13/11/2024:20:55:39:19","Create Session - Google Chrome"
"[p]","13/11/2024:20:56:01:64",
"[c]","13/11/2024:20:56:07:96","Windows PowerShell"
"[c][d]","13/11/2024:20:56:08:10","Windows PowerShell"
"[SpaceBar]","13/11/2024:20:56:08:24","Windows PowerShell"
"[D]","13/11/2024:20:56:08:59","Windows PowerShell"
"[e]","13/11/2024:20:56:08:77","Windows PowerShell"
"[e][s]","13/11/2024:20:56:08:90","Windows PowerShell"
"[r]","13/11/2024:20:56:09:15","Windows PowerShell"
"[p]","13/11/2024:20:56:09:40","Windows PowerShell"
"[t]","13/11/2024:20:56:11:07","Windows PowerShell"
"[p]","13/11/2024:20:56:11:29","Windows PowerShell"
"[I]","13/11/2024:20:56:12:26","Windows PowerShell"
"[T]","13/11/2024:20:56:12:48","Windows PowerShell"
"[P]","13/11/2024:20:56:13:11","Windows PowerShell"
"[p]","13/11/2024:20:56:13:55","Windows PowerShell"
"[o]","13/11/2024:20:56:13:71","Windows PowerShell"
"[o][w]","13/11/2024:20:56:13:83","Windows PowerShell"
"[e]","13/11/2024:20:56:14:00","Windows PowerShell"
"[r]","13/11/2024:20:56:14:19","Windows PowerShell"
"[s]","13/11/2024:20:56:14:43","Windows PowerShell"
"[h]","13/11/2024:20:56:14:59","Windows PowerShell"
"[e]","13/11/2024:20:56:14:75","Windows PowerShell"
"[l]","13/11/2024:20:56:15:05","Windows PowerShell"
"[l]","13/11/2024:20:56:15:19","Windows PowerShell"
"[l]","13/11/2024:20:56:16:47","Windows PowerShell"
"[c]","13/11/2024:20:56:18:94","Windows PowerShell"
"[c][m]","13/11/2024:20:56:19:06","Windows PowerShell"
"[b]","13/11/2024:20:56:19:27","Windows PowerShell"
"[i]","13/11/2024:20:56:19:52","Windows PowerShell"
"[c]","13/11/2024:20:56:21:83","Windows PowerShell"
"[c][o]","13/11/2024:20:56:21:95","Windows PowerShell"
"[m]","13/11/2024:20:56:22:11","Windows PowerShell"
"[b]","13/11/2024:20:56:22:75","Windows PowerShell"
"[i]","13/11/2024:20:56:22:96","Windows PowerShell"
"[e]","13/11/2024:20:56:23:12","Windows PowerShell"
"[S]","13/11/2024:20:56:24:29","Windows PowerShell"
"[c]","13/11/2024:20:56:24:48","Windows PowerShell"
"[r]","13/11/2024:20:56:24:77","Windows PowerShell"
"[i]","13/11/2024:20:56:24:95","Windows PowerShell"
"[p]","13/11/2024:20:56:25:21","Windows PowerShell"
"[p][t]","13/11/2024:20:56:25:35","Windows PowerShell"
"[p]","13/11/2024:20:56:26:36","Windows PowerShell"
"[1]","13/11/2024:20:56:26:65","Windows PowerShell"
"[Ctrl][c]","13/11/2024:20:57:00:98","Windows PowerShell"
"[G]","13/11/2024:20:57:02:07","Windows PowerShell"
"[e]","13/11/2024:20:57:02:21","Windows PowerShell"
"[J]","13/11/2024:20:57:03:11","Windows PowerShell"
"[o]","13/11/2024:20:57:03:27","Windows PowerShell"
"[b]","13/11/2024:20:57:03:42","Windows PowerShell"
"[SpaceBar]","13/11/2024:20:57:03:56","Windows PowerShell"
"[SpaceBar]","13/11/2024:20:57:04:20","Windows PowerShell"
"[S]","13/11/2024:20:57:04:42","Windows PowerShell"
"[t]","13/11/2024:20:57:04:70","Windows PowerShell"
"[o]","13/11/2024:20:57:04:85","Windows PowerShell"
"[o][p]","13/11/2024:20:57:04:98","Windows PowerShell"
"[t]","13/11/2024:20:57:06:20","Windows PowerShell"
"[o]","13/11/2024:20:57:06:36","Windows PowerShell"
"[o][p]","13/11/2024:20:57:06:52","Windows PowerShell"
"[J]","13/11/2024:20:57:08:24","Windows PowerShell"
"[J][o]","13/11/2024:20:57:08:36","Windows PowerShell"
"[b]","13/11/2024:20:57:08:61","Windows PowerShell"
"[R]","13/11/2024:20:57:11:70","Windows PowerShell"
"[e]","13/11/2024:20:57:11:86","Windows PowerShell"
"[m]","13/11/2024:20:57:12:04","Windows PowerShell"
"[v]","13/11/2024:20:57:12:21","Windows PowerShell"
"[e]","13/11/2024:20:57:12:40","Windows PowerShell"
"[G]","13/11/2024:20:57:13:71","Windows PowerShell"
"[t]","13/11/2024:20:57:13:88","Windows PowerShell"
"[J]","13/11/2024:20:57:14:79","Windows PowerShell"
"[o]","13/11/2024:20:57:14:95","Windows PowerShell"
"[b]","13/11/2024:20:57:15:10","Windows PowerShell"
"[u]","13/11/2024:20:57:20:25","Windows PowerShell"
"[r]","13/11/2024:20:57:20:46","Windows PowerShell"
"[r]","13/11/2024:20:57:20:60","Windows PowerShell"
"[e]","13/11/2024:20:57:20:76","Windows PowerShell"
"[e][n]","13/11/2024:20:57:20:90","Windows PowerShell"
"[e][n][t]","13/11/2024:20:57:21:02","Windows PowerShell"
"[c]","13/11/2024:20:58:03:70","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[SpaceBar]","13/11/2024:20:58:04:00","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[D]","13/11/2024:20:58:04:36","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[D][e]","13/11/2024:20:58:04:58","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[k]","13/11/2024:20:58:04:87","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[k][o]","13/11/2024:20:58:05:01","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[K]","13/11/2024:20:58:07:13","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[y]","13/11/2024:20:58:07:44","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[s]","13/11/2024:20:58:07:67","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[r]","13/11/2024:20:58:07:96","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[o]","13/11/2024:20:58:08:21","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[s]","13/11/2024:20:58:08:46","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[s]","13/11/2024:20:58:09:76","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[u]","13/11/2024:20:58:10:75","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[c]","13/11/2024:20:58:11:04","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[c][e]","13/11/2024:20:58:11:26","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[SpaceBar]","13/11/2024:20:58:11:48","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[SpaceBar][e]","13/11/2024:20:58:11:72","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[b]","13/11/2024:20:58:12:36","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[n]","13/11/2024:20:58:13:24","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[n][v]","13/11/2024:20:58:13:49","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[i]","13/11/2024:20:58:14:12","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[b]","13/11/2024:20:58:14:57","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[i]","13/11/2024:20:58:14:95","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[a]","13/11/2024:20:58:15:83","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[t]","13/11/2024:20:58:16:45","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[i]","13/11/2024:20:58:16:83","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[i][v]","13/11/2024:20:58:17:02","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[t]","13/11/2024:20:58:17:25","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[l]","13/11/2024:20:58:18:27","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[p]","13/11/2024:20:58:19:59","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[h]","13/11/2024:20:58:19:82","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[h][n]","13/11/2024:20:58:20:06","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[k]","13/11/2024:20:58:20:80","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[y]","13/11/2024:20:58:21:11","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[s]","13/11/2024:20:58:21:50","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[r]","13/11/2024:20:58:21:91","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[o]","13/11/2024:20:58:22:32","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[a]","13/11/2024:20:58:23:66","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[l]","13/11/2024:20:58:24:07","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[p]","13/11/2024:20:59:13:76",
"[Ctrl][c]","13/11/2024:20:59:30:40","C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:20:59:31:94","Windows PowerShell"
"[Ctrl][c]","13/11/2024:20:59:58:93",""
"[Ctrl][v]","13/11/2024:21:00:04:54","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:04:94","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:05:29","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:05:57","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:05:84","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:06:22","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:06:52","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:06:77","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:07:13","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:07:45","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:00:07:71","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[w]","13/11/2024:21:00:18:99","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[a]","13/11/2024:21:00:19:22","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[SpaceBar]","13/11/2024:21:00:19:70","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[i]","13/11/2024:21:00:19:96","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[i]","13/11/2024:21:00:21:59","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[SpaceBar]","13/11/2024:21:00:22:13","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[t]","13/11/2024:21:00:23:09","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[t][w]","13/11/2024:21:00:23:64","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:28:45","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:28:74","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:29:07","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:29:35","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:29:57","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:29:82","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:30:01","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:30:29","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:30:48","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:30:79","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:30:98","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:31:22","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:31:39","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:31:58","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:01:31:77","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:03:33:74","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[Ctrl][c]","13/11/2024:21:03:34:46","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[y]","13/11/2024:21:04:20:68","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[Ctrl][s]","13/11/2024:21:05:03:41","C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:36:04","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:36:65","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:37:38","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:37:76","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:38:10","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:38:41","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c][v]","13/11/2024:21:05:38:68","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:39:06","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:39:50","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:39:92","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:40:33","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:40:68","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:41:06","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:42:21","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:43:18","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:43:55","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:43:85","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:44:18","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:44:52","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:44:84","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:45:17","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:45:47","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:45:86","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:46:26","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:46:56","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:05:46:75","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c][v]","13/11/2024:21:05:47:01","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:47:29","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:47:70","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:48:02","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][v]","13/11/2024:21:05:48:44","*C:\Users\wynkh\Desktop\ITP_powershell\TestMLData.ps1 - Notepad++"
"[Ctrl][c]","13/11/2024:21:06:24:66","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[Ctrl][c]","13/11/2024:21:06:26:34","10.0.0.1 (raspberrypi) - RealVNC Viewer"
"[Ctrl][s]","13/11/2024:21:06:40:91","10.0.0.1 (raspberrypi) - RealVNC Viewer"
