"WindowTitle","TypedKey","Time"
"Microsoft Word","[W]","30/10/2024:13:18:57:677"
"Microsoft Word","[h]","30/10/2024:13:18:57:832"
"Microsoft Word","[a]","30/10/2024:13:18:57:971"
"Microsoft Word","[t]","30/10/2024:13:18:58:126"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:58:188"
"Microsoft Word","[i]","30/10/2024:13:18:58:359"
"Microsoft Word","[s]","30/10/2024:13:18:58:544"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:58:663"
"Microsoft Word","[t]","30/10/2024:13:18:58:866"
"Microsoft Word","[h]","30/10/2024:13:18:58:927"
"Microsoft Word","[e]","30/10/2024:13:18:59:083"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:59:274"
"Microsoft Word","[a]","30/10/2024:13:18:59:423"
"Microsoft Word","[n]","30/10/2024:13:18:59:493"
"Microsoft Word","[s]","30/10/2024:13:18:59:606"
"Microsoft Word","[w]","30/10/2024:13:18:59:773"
"Microsoft Word","[e]","30/10/2024:13:18:59:899"
"Microsoft Word","[r]","30/10/2024:13:19:00:005"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:00:097"
"Microsoft Word","[t]","30/10/2024:13:19:00:233"
"Microsoft Word","[o]","30/10/2024:13:19:00:348"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:00:549"
"Microsoft Word","[q]","30/10/2024:13:19:00:652"
"Microsoft Word","[u]","30/10/2024:13:19:00:781"
"Microsoft Word","[e]","30/10/2024:13:19:00:841"
"Microsoft Word","[s]","30/10/2024:13:19:00:980"
"Microsoft Word","[t]","30/10/2024:13:19:01:108"
"Microsoft Word","[i]","30/10/2024:13:19:01:266"
"Microsoft Word","[o]","30/10/2024:13:19:01:424"
"Microsoft Word","[n]","30/10/2024:13:19:01:565"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:01:742"
"Microsoft Word","[3]","30/10/2024:13:19:01:840"
"Microsoft Word","[?]","30/10/2024:13:19:01:965"
"Microsoft Word","[Enter]","30/10/2024:13:19:02:127"
"Microsoft Word","[W]","30/10/2024:13:19:02:206"
"Microsoft Word","[a]","30/10/2024:13:19:02:285"
"Microsoft Word","[i]","30/10/2024:13:19:02:472"
"Microsoft Word","[t]","30/10/2024:13:19:02:660"
"Microsoft Word","[,]","30/10/2024:13:19:02:753"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:02:872"
"Microsoft Word","[I]","30/10/2024:13:19:03:044"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:03:179"
"Microsoft Word","[t]","30/10/2024:13:19:03:330"
"Microsoft Word","[h]","30/10/2024:13:19:03:411"
"Microsoft Word","[i]","30/10/2024:13:19:03:599"
"Microsoft Word","[n]","30/10/2024:13:19:03:767"
"Microsoft Word","[k]","30/10/2024:13:19:03:833"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:03:951"
"Microsoft Word","[i]","30/10/2024:13:19:04:062"
"Microsoft Word","[t]","30/10/2024:13:19:04:173"
"Microsoft Word","[']","30/10/2024:13:19:04:315"
"Microsoft Word","[s]","30/10/2024:13:19:04:423"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:04:490"
"Microsoft Word","[B]","30/10/2024:13:19:04:657"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:04:803"
"Microsoft Word","[b]","30/10/2024:13:19:04:930"
"Microsoft Word","[u]","30/10/2024:13:19:05:053"
"Microsoft Word","[t]","30/10/2024:13:19:05:145"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:05:346"
"Microsoft Word","[n]","30/10/2024:13:19:05:519"
"Microsoft Word","[o]","30/10/2024:13:19:05:659"
"Microsoft Word","[t]","30/10/2024:13:19:05:755"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:05:912"
"Microsoft Word","[s]","30/10/2024:13:19:06:022"
"Microsoft Word","[u]","30/10/2024:13:19:06:101"
"Microsoft Word","[r]","30/10/2024:13:19:06:218"
"Microsoft Word","[e]","30/10/2024:13:19:06:305"
"Microsoft Word","[.]","30/10/2024:13:19:06:396"
"Microsoft Word","[Enter]","30/10/2024:13:19:06:582"
"Microsoft Word","[C]","30/10/2024:13:19:06:765"
"Microsoft Word","[a]","30/10/2024:13:19:06:933"
"Microsoft Word","[n]","30/10/2024:13:19:07:110"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:07:173"
"Microsoft Word","[y]","30/10/2024:13:19:07:348"
"Microsoft Word","[o]","30/10/2024:13:19:07:460"
"Microsoft Word","[u]","30/10/2024:13:19:07:562"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:07:708"
